ID,Name,Data_Source,Distance_to_Polygon,Inside_Buffer (File Read (Task 1)),Radius_Dist
1,Point_1,Radius Search Result,0.0,Yes,77.23
2,Point_2,Radius Search Result,0.0,Yes,141.39
3,Point_3,Radius Search Result,0.0,Yes,196.73
4,Point_4,Radius Search Result,0.0,Yes,217.06
5,Point_5,Radius Search Result,0.0,Yes,228.49
6,Point_6,Radius Search Result,0.0,Yes,234.33
7,Point_7,Radius Search Result,0.0,Yes,244.63
8,Point_8,Radius Search Result,0.0,Yes,247.07
9,Point_9,Radius Search Result,0.0,Yes,261.18
10,Point_10,Radius Search Result,0.0,Yes,261.74
11,Point_11,Radius Search Result,0.0,Yes,282.27
12,Point_12,Radius Search Result,0.0,Yes,288.15
13,Point_13,Radius Search Result,0.0,Yes,288.61
14,Point_14,Radius Search Result,0.0,Yes,326.02
15,Point_15,Radius Search Result,0.0,Yes,336.09
16,Point_16,Radius Search Result,0.0,Yes,337.84
17,Point_17,Radius Search Result,0.0,Yes,347.49
18,Point_18,Radius Search Result,0.0,Yes,352.53
19,Point_19,Radius Search Result,0.0,Yes,377.83
20,Point_20,Radius Search Result,0.0,Yes,415.41
21,Point_21,Radius Search Result,0.0,Yes,418.5
22,Point_22,Radius Search Result,0.0,Yes,428.13
23,Point_23,Radius Search Result,0.0,Yes,434.43
24,Point_24,Radius Search Result,0.0,Yes,448.2
25,Point_25,Radius Search Result,0.0,Yes,454.32
26,Point_26,Radius Search Result,0.0,Yes,463.11
27,Point_27,Radius Search Result,0.0,Yes,479.39
28,Point_28,Radius Search Result,0.0,Yes,480.79
29,Point_29,Radius Search Result,0.0,Yes,494.5
30,Point_30,Radius Search Result,0.0,Yes,501.65
31,Point_31,Radius Search Result,0.0,Yes,506.5
32,Point_32,Radius Search Result,0.0,Yes,508.47
33,Point_33,Radius Search Result,0.0,Yes,515.45
34,Point_34,Radius Search Result,0.0,Yes,521.52
35,Point_35,Radius Search Result,0.0,Yes,531.01
36,Point_36,Radius Search Result,0.0,Yes,538.88
37,Point_37,Radius Search Result,0.0,Yes,539.99
38,Point_38,Radius Search Result,0.0,Yes,549.04
39,Point_39,Radius Search Result,0.0,Yes,553.23
40,Point_40,Radius Search Result,0.0,Yes,553.23
41,Point_41,Radius Search Result,0.0,Yes,558.24
42,Point_42,Radius Search Result,0.0,Yes,561.14
43,Point_43,Radius Search Result,0.0,Yes,565.23
44,Point_44,Radius Search Result,0.0,Yes,586.87
45,Point_45,Radius Search Result,0.0,Yes,593.08
46,Point_46,Radius Search Result,0.0,Yes,600.76
47,Point_47,Radius Search Result,0.0,Yes,605.16
48,Point_48,Radius Search Result,0.0,Yes,633.57
49,Point_49,Radius Search Result,0.0,Yes,639.84
50,Point_50,Radius Search Result,0.0,Yes,646.64
